"","CheckoutYear","CheckoutMonth","MaterialType","Checkouts","Title","YrMon","date_full"
"27",2014,2,"BOOK",9,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Feb 2014,2014-02-01
"28",2014,2,"BOOK",11,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Feb 2014,2014-02-01
"29",2014,3,"BOOK",22,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Mar 2014,2014-03-01
"30",2014,3,"BOOK",13,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Mar 2014,2014-03-01
"31",2014,4,"BOOK",18,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Apr 2014,2014-04-01
"32",2014,4,"BOOK",3,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Apr 2014,2014-04-01
"33",2014,5,"BOOK",9,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",May 2014,2014-05-01
"34",2014,5,"BOOK",17,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",May 2014,2014-05-01
"35",2014,6,"BOOK",8,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Jun 2014,2014-06-01
"36",2014,6,"BOOK",18,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jun 2014,2014-06-01
"37",2014,7,"BOOK",7,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Jul 2014,2014-07-01
"38",2014,7,"BOOK",20,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jul 2014,2014-07-01
"39",2014,8,"BOOK",14,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Aug 2014,2014-08-01
"40",2014,8,"BOOK",9,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Aug 2014,2014-08-01
"41",2014,9,"BOOK",17,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Sep 2014,2014-09-01
"42",2014,9,"BOOK",5,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Sep 2014,2014-09-01
"43",2014,10,"BOOK",1,"Nineteen eighty-four [text (large print)] / George Orwell.",Oct 2014,2014-10-01
"44",2014,10,"BOOK",16,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Oct 2014,2014-10-01
"45",2014,10,"BOOK",11,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Oct 2014,2014-10-01
"46",2014,11,"BOOK",5,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Nov 2014,2014-11-01
"47",2014,11,"BOOK",14,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Nov 2014,2014-11-01
"48",2014,12,"BOOK",15,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Dec 2014,2014-12-01
"49",2014,12,"BOOK",11,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Dec 2014,2014-12-01
"50",2015,1,"BOOK",10,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jan 2015,2015-01-01
"51",2015,1,"BOOK",11,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Jan 2015,2015-01-01
"52",2015,2,"BOOK",6,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Feb 2015,2015-02-01
"53",2015,2,"BOOK",10,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Feb 2015,2015-02-01
"54",2015,3,"BOOK",10,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Mar 2015,2015-03-01
"55",2015,3,"BOOK",13,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Mar 2015,2015-03-01
"56",2015,4,"BOOK",1,"Nineteen eighty-four [text (large print)] / George Orwell.",Apr 2015,2015-04-01
"57",2015,4,"BOOK",9,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Apr 2015,2015-04-01
"58",2015,4,"BOOK",13,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Apr 2015,2015-04-01
"59",2015,5,"BOOK",6,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",May 2015,2015-05-01
"60",2015,5,"BOOK",5,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",May 2015,2015-05-01
"61",2015,6,"BOOK",9,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jun 2015,2015-06-01
"62",2015,6,"BOOK",12,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Jun 2015,2015-06-01
"63",2015,7,"BOOK",8,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jul 2015,2015-07-01
"64",2015,7,"BOOK",1,"Nineteen eighty-four [text (large print)] / George Orwell.",Jul 2015,2015-07-01
"65",2015,7,"BOOK",18,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Jul 2015,2015-07-01
"66",2015,8,"BOOK",13,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Aug 2015,2015-08-01
"67",2015,8,"BOOK",9,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Aug 2015,2015-08-01
"68",2015,8,"BOOK",1,"Nineteen eighty-four [text (large print)] / George Orwell.",Aug 2015,2015-08-01
"69",2015,9,"BOOK",6,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Sep 2015,2015-09-01
"70",2015,9,"BOOK",12,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Sep 2015,2015-09-01
"71",2015,10,"BOOK",8,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Oct 2015,2015-10-01
"72",2015,10,"BOOK",11,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Oct 2015,2015-10-01
"73",2015,11,"BOOK",1,"Nineteen eighty-four [text (large print)] / George Orwell.",Nov 2015,2015-11-01
"74",2015,11,"BOOK",7,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Nov 2015,2015-11-01
"75",2015,11,"BOOK",9,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Nov 2015,2015-11-01
"76",2015,12,"BOOK",16,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Dec 2015,2015-12-01
"77",2015,12,"BOOK",10,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Dec 2015,2015-12-01
