UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,AUDIOBOOK,2011,10,5,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2011,10,2,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,EBOOK,2011,10,9,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,BOOK,2011,10,17,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2011,11,2,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2011,11,2,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2011,11,14,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,EBOOK,2011,11,6,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,BOOK,2011,12,19,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2011,12,3,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,EBOOK,2011,12,9,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2011,12,3,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,EBOOK,2012,1,11,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,BOOK,2012,1,14,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2012,1,4,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2012,1,3,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2012,2,14,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,EBOOK,2012,2,12,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2012,2,1,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2012,2,2,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2012,3,15,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2012,3,3,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,EBOOK,2012,3,17,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2012,3,1,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,SOUNDDISC,2012,4,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
