UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,SOUNDDISC,2008,10,3,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2008,10,1,World War Z an oral history of the zombie war,,"Large type books, Horror fiction, War stories, Zombies Fiction",,
Digital,OverDrive,AUDIOBOOK,2008,10,1,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2008,11,15,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Digital,OverDrive,AUDIOBOOK,2008,11,2,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2008,11,3,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,SOUNDDISC,2008,12,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2008,12,13,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Digital,OverDrive,AUDIOBOOK,2008,12,2,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2008,12,1,World War Z an oral history of the zombie war,,"Large type books, Horror fiction, War stories, Zombies Fiction",,
Digital,OverDrive,AUDIOBOOK,2009,1,2,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2009,1,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2009,1,26,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,BOOK,2009,2,14,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2009,2,5,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2009,2,1,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2009,2,1,World War Z an oral history of the zombie war,,"Large type books, Horror fiction, War stories, Zombies Fiction",,
Physical,Horizon,BOOK,2009,3,18,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Digital,OverDrive,AUDIOBOOK,2009,3,2,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2009,3,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2009,3,1,World War Z an oral history of the zombie war,,"Large type books, Horror fiction, War stories, Zombies Fiction",,
Physical,Horizon,BOOK,2009,4,21,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,BOOK,2009,4,1,World War Z an oral history of the zombie war,,"Large type books, Horror fiction, War stories, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2009,4,7,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2009,4,2,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2009,5,15,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Digital,OverDrive,AUDIOBOOK,2009,5,3,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2009,5,1,World War Z an oral history of the zombie war,,"Large type books, Horror fiction, War stories, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2009,5,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2009,6,16,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2009,6,5,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2009,6,1,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2009,7,1,World War Z an oral history of the zombie war,,"Large type books, Horror fiction, War stories, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2009,7,6,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2009,7,4,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2009,7,12,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Digital,OverDrive,AUDIOBOOK,2009,8,2,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2009,8,12,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2009,8,7,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,SOUNDDISC,2009,9,5,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2009,9,1,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2009,9,14,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2009,10,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2009,10,3,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2009,10,14,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2009,11,5,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2009,11,3,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2009,11,13,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2009,12,5,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2009,12,14,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Digital,OverDrive,AUDIOBOOK,2009,12,2,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2010,1,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2010,1,14,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Digital,OverDrive,AUDIOBOOK,2010,1,4,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2010,2,2,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2010,2,6,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2010,2,9,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,BOOK,2010,3,15,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2010,3,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2010,3,2,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2010,4,14,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2010,4,3,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2010,4,3,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2010,5,5,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2010,5,2,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2010,5,16,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Digital,OverDrive,AUDIOBOOK,2010,6,2,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2010,6,15,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2010,6,2,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,SOUNDDISC,2010,7,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2010,7,1,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2010,7,12,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,BOOK,2010,8,10,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2010,8,2,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2010,8,2,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2010,9,9,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Digital,OverDrive,AUDIOBOOK,2010,9,2,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2010,9,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
