CheckoutYear,CheckoutMonth,MaterialType,Checkouts,Title
2014,2,BOOK,1,"Santa Biblia : NVI, Nueva VersiÌ_n International = Holy Bible : NIV, New International Version."
2014,2,AUDIOBOOK,2,Complete Audio Holy Bible (Unabridged)
2014,2,BOOK,1,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2014,3,BOOK,1,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2014,3,EBOOK,1,"The Holy Bible: Douay-Rheims Version, Challoner Revision, The Old and New Testaments"
2014,3,BOOK,3,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
2014,3,AUDIOBOOK,3,Complete Audio Holy Bible (Unabridged)
2014,3,EBOOK,1,"The Holy Bible: Old and New Testaments, King James Version"
2014,3,BOOK,3,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2014,4,BOOK,1,The Holy Bible.
2014,4,BOOK,1,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2014,4,EBOOK,2,"The Holy Bible: Old and New Testaments, King James Version"
2014,4,BOOK,1,"Santa Biblia : NVI, Nueva VersiÌ_n International = Holy Bible : NIV, New International Version."
2014,5,AUDIOBOOK,1,Complete Audio Holy Bible (Unabridged)
2014,5,BOOK,1,The Holy Bible.
2014,5,BOOK,1,Holy Bible containing the Old and New Testaments translated out of the original tongues and with the former translations diligently compared and revised by His Majestys special command authorized King James version
2014,5,BOOK,1,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2014,5,BOOK,1,Holy Bible the 21st Century King James Version containing the Old Testament and the New Testament
2014,5,EBOOK,1,"The Holy Bible: Old and New Testaments, King James Version"
2014,6,AUDIOBOOK,3,Complete Audio Holy Bible (Unabridged)
2014,6,BOOK,1,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2014,6,BOOK,1,Holy Bible New International Version containing the Old Testament and the New Testament
2014,7,BOOK,2,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
2014,7,EBOOK,2,"The Holy Bible: Old and New Testaments, King James Version"
2014,7,AUDIOBOOK,2,Complete Audio Holy Bible (Unabridged)
2014,8,EBOOK,3,"The Holy Bible: Douay-Rheims Version, Challoner Revision, The Old and New Testaments"
2014,8,AUDIOBOOK,2,Complete Audio Holy Bible (Unabridged)
2014,8,BOOK,1,Holy Bible the 21st Century King James Version containing the Old Testament and the New Testament
2014,8,EBOOK,4,"The Holy Bible: Old and New Testaments, King James Version"
2014,9,AUDIOBOOK,1,Complete Audio Holy Bible (Unabridged)
2014,9,BOOK,1,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2014,9,BOOK,1,Holy Bible containing the Old and New Testaments translated out of the original tongues and with the former translations diligently compared and revised by His Majestys special command authorized King James version
2014,9,BOOK,1,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
2014,9,BOOK,1,Black characters and references of the Holy Bible / F.S. Rhoades.
2014,10,BOOK,1,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2014,10,BOOK,2,Jesus : his life in verses from the King James Holy Bible / art by Gennady Spirin.
2014,11,EBOOK,2,"The Holy Bible: Old and New Testaments, King James Version"
2014,11,BOOK,1,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2014,11,EBOOK,1,"The Holy Bible: Douay-Rheims Version, Challoner Revision, The Old and New Testaments"
2014,12,BOOK,1,"Santa Biblia : NVI, Nueva VersiÌ_n International = Holy Bible : NIV, New International Version."
2014,12,EBOOK,3,"The Holy Bible: Old and New Testaments, King James Version"
2014,12,BOOK,1,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2015,1,EBOOK,3,"The Holy Bible: Old and New Testaments, King James Version"
2015,1,BOOK,1,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
2015,1,BOOK,1,Holy Bible the 21st Century King James Version containing the Old Testament and the New Testament
2015,1,BOOK,1,Jesus : his life in verses from the King James Holy Bible / art by Gennady Spirin.
2015,1,BOOK,1,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2015,1,AUDIOBOOK,2,Complete Audio Holy Bible (Unabridged)
2015,1,EBOOK,2,"The Holy Bible: Douay-Rheims Version, Challoner Revision, The Old and New Testaments"
2015,2,BOOK,1,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2015,2,EBOOK,1,"The Holy Bible: Douay-Rheims Version, Challoner Revision, The Old and New Testaments"
2015,2,BOOK,1,Jesus : his life in verses from the King James Holy Bible / art by Gennady Spirin.
