CheckoutYear,CheckoutMonth,MaterialType,Checkouts,Title
2014,11,BOOK,6,In defense of food : an eater's manifesto / Michael Pollan.
2014,11,AUDIOBOOK,7,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2014,11,EBOOK,12,In Defense of Food: An Eater's Manifesto
2014,12,AUDIOBOOK,8,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2014,12,BOOK,9,In defense of food : an eater's manifesto / Michael Pollan.
2014,12,BOOK,1,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2014,12,EBOOK,11,In Defense of Food: An Eater's Manifesto
2015,1,BOOK,6,In defense of food : an eater's manifesto / Michael Pollan.
2015,1,BOOK,2,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2015,1,EBOOK,15,In Defense of Food: An Eater's Manifesto
2015,1,AUDIOBOOK,8,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2015,2,EBOOK,11,In Defense of Food: An Eater's Manifesto
2015,2,BOOK,4,In defense of food : an eater's manifesto / Michael Pollan.
2015,2,AUDIOBOOK,8,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2015,2,BOOK,2,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2015,3,BOOK,3,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2015,3,BOOK,3,In defense of food : an eater's manifesto / Michael Pollan.
2015,3,EBOOK,11,In Defense of Food: An Eater's Manifesto
2015,3,AUDIOBOOK,8,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2015,4,BOOK,6,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2015,4,AUDIOBOOK,9,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2015,4,BOOK,6,In defense of food : an eater's manifesto / Michael Pollan.
2015,4,EBOOK,14,In Defense of Food: An Eater's Manifesto
2015,5,EBOOK,8,In Defense of Food: An Eater's Manifesto
2015,5,AUDIOBOOK,8,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2015,5,BOOK,6,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2015,5,BOOK,5,In defense of food : an eater's manifesto / Michael Pollan.
2015,6,AUDIOBOOK,7,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2015,6,BOOK,2,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2015,6,EBOOK,11,In Defense of Food: An Eater's Manifesto
2015,6,BOOK,5,In defense of food : an eater's manifesto / Michael Pollan.
2015,7,AUDIOBOOK,7,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2015,7,EBOOK,13,In Defense of Food: An Eater's Manifesto
2015,7,BOOK,1,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2015,7,BOOK,5,In defense of food : an eater's manifesto / Michael Pollan.
2015,8,EBOOK,12,In Defense of Food: An Eater's Manifesto
2015,8,BOOK,2,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2015,8,BOOK,5,In defense of food : an eater's manifesto / Michael Pollan.
2015,8,AUDIOBOOK,10,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2015,9,AUDIOBOOK,8,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2015,9,EBOOK,16,In Defense of Food: An Eater's Manifesto
2015,9,BOOK,2,In defense of food : an eater's manifesto / Michael Pollan.
2015,10,BOOK,2,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2015,10,BOOK,7,In defense of food : an eater's manifesto / Michael Pollan.
2015,10,AUDIOBOOK,9,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2015,10,EBOOK,11,In Defense of Food: An Eater's Manifesto
2015,11,BOOK,4,In defense of food : an eater's manifesto / Michael Pollan.
2015,11,AUDIOBOOK,7,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2015,11,EBOOK,12,In Defense of Food: An Eater's Manifesto
2015,12,BOOK,4,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2015,12,AUDIOBOOK,10,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2015,12,BOOK,3,In defense of food : an eater's manifesto / Michael Pollan.
2015,12,EBOOK,14,In Defense of Food: An Eater's Manifesto
2016,1,BOOK,5,In defense of food : an eater's manifesto / Michael Pollan.
2016,1,AUDIOBOOK,6,In Defense of Food: An Eater's Manifesto (unabridged)
2016,1,BOOK,9,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2016,1,EBOOK,12,In Defense of Food: An Eater's Manifesto
2016,2,EBOOK,10,In Defense of Food: An Eater's Manifesto
2016,2,AUDIOBOOK,13,In Defense of Food: An Eater's Manifesto (unabridged)
2016,2,BOOK,7,In defense of food : an eater's manifesto / Michael Pollan.
2016,3,AUDIOBOOK,9,In Defense of Food: An Eater's Manifesto (unabridged)
2016,3,EBOOK,10,In Defense of Food: An Eater's Manifesto
2016,3,BOOK,6,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2016,3,BOOK,5,In defense of food : an eater's manifesto / Michael Pollan.
2016,4,EBOOK,13,In Defense of Food: An Eater's Manifesto
2016,4,BOOK,3,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2016,4,BOOK,6,In defense of food : an eater's manifesto / Michael Pollan.
2016,4,AUDIOBOOK,8,In Defense of Food: An Eater's Manifesto (unabridged)
2016,5,BOOK,3,In defense of food : an eater's manifesto / Michael Pollan.
2016,5,AUDIOBOOK,8,In Defense of Food: An Eater's Manifesto (unabridged)
2016,5,EBOOK,13,In Defense of Food: An Eater's Manifesto
2016,5,BOOK,2,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2016,6,AUDIOBOOK,8,In Defense of Food: An Eater's Manifesto (unabridged)
2016,6,EBOOK,13,In Defense of Food: An Eater's Manifesto
2016,6,BOOK,6,In defense of food : an eater's manifesto / Michael Pollan.
2016,7,BOOK,5,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2016,7,EBOOK,10,In Defense of Food: An Eater's Manifesto
2016,7,BOOK,4,In defense of food : an eater's manifesto / Michael Pollan.
