CheckoutYear,CheckoutMonth,MaterialType,Checkouts,Title,date_full
2015,1,BOOK,21,Name of the wind / Patrick Rothfuss.,01/01/15
2015,1,AUDIOBOOK,4,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/01/15
2015,2,BOOK,21,Name of the wind / Patrick Rothfuss.,01/02/15
2015,2,EBOOK,25,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/02/15
2015,2,AUDIOBOOK,2,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/02/15
2015,3,EBOOK,27,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/03/15
2015,3,AUDIOBOOK,5,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/03/15
2015,3,BOOK,21,Name of the wind / Patrick Rothfuss.,01/03/15
2015,4,EBOOK,21,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/04/15
2015,4,BOOK,21,Name of the wind / Patrick Rothfuss.,01/04/15
2015,4,AUDIOBOOK,4,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/04/15
2015,5,EBOOK,34,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/05/15
2015,5,AUDIOBOOK,2,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/05/15
2015,5,BOOK,19,Name of the wind / Patrick Rothfuss.,01/05/15
2015,6,EBOOK,25,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/06/15
2015,6,BOOK,20,Name of the wind / Patrick Rothfuss.,01/06/15
2015,7,EBOOK,33,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/07/15
2015,7,BOOK,18,Name of the wind / Patrick Rothfuss.,01/07/15
2015,8,BOOK,19,Name of the wind / Patrick Rothfuss.,01/08/15
2015,8,EBOOK,32,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/08/15
2015,9,EBOOK,27,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/09/15
2015,9,BOOK,23,Name of the wind / Patrick Rothfuss.,01/09/15
2015,10,EBOOK,37,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/10/15
2015,10,BOOK,18,Name of the wind / Patrick Rothfuss.,01/10/15
2015,11,EBOOK,32,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/11/15
2015,11,BOOK,22,Name of the wind / Patrick Rothfuss.,01/11/15
2015,12,EBOOK,34,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/12/15
2015,12,BOOK,19,Name of the wind / Patrick Rothfuss.,01/12/15
2016,1,EBOOK,37,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/01/16
2016,1,BOOK,15,Name of the wind / Patrick Rothfuss.,01/01/16
2016,2,BOOK,12,Name of the wind / Patrick Rothfuss.,01/02/16
2016,2,EBOOK,36,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/02/16
2016,3,BOOK,23,Name of the wind / Patrick Rothfuss.,01/03/16
2016,3,EBOOK,30,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/03/16
2016,4,BOOK,15,Name of the wind / Patrick Rothfuss.,01/04/16
2016,4,EBOOK,36,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/04/16
2016,5,EBOOK,37,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/05/16
2016,5,BOOK,14,Name of the wind / Patrick Rothfuss.,01/05/16
2016,6,EBOOK,34,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/06/16
2016,6,BOOK,9,Name of the wind / Patrick Rothfuss.,01/06/16
2016,7,BOOK,15,Name of the wind / Patrick Rothfuss.,01/07/16
2016,7,EBOOK,32,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/07/16
2016,8,EBOOK,35,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/08/16
2016,8,BOOK,11,Name of the wind / Patrick Rothfuss.,01/08/16
2016,9,BOOK,16,Name of the wind / Patrick Rothfuss.,01/09/16
2016,9,EBOOK,36,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/09/16
2016,10,BOOK,14,Name of the wind / Patrick Rothfuss.,01/10/16
2016,10,EBOOK,32,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/10/16
2016,11,EBOOK,34,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/11/16
2016,11,BOOK,22,Name of the wind / Patrick Rothfuss.,01/11/16
2016,12,BOOK,28,Name of the wind / Patrick Rothfuss.,01/12/16
2016,12,EBOOK,46,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/12/16
2017,1,BOOK,30,Name of the wind / Patrick Rothfuss.,01/01/17
2017,1,EBOOK,40,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/01/17
2017,2,BOOK,22,Name of the wind / Patrick Rothfuss.,01/02/17
2017,2,EBOOK,43,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/02/17
2017,3,BOOK,20,Name of the wind / Patrick Rothfuss.,01/03/17
2017,3,EBOOK,50,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/03/17
2007,4,BOOK,8,Name of the wind / Patrick Rothfuss.,01/04/07
2007,5,BOOK,10,Name of the wind / Patrick Rothfuss.,01/05/07
2007,6,BOOK,13,Name of the wind / Patrick Rothfuss.,01/06/07
2007,7,BOOK,6,Name of the wind / Patrick Rothfuss.,01/07/07
2007,8,BOOK,12,Name of the wind / Patrick Rothfuss.,01/08/07
2007,9,BOOK,16,Name of the wind / Patrick Rothfuss.,01/09/07
2007,10,BOOK,19,Name of the wind / Patrick Rothfuss.,01/10/07
2007,11,BOOK,18,Name of the wind / Patrick Rothfuss.,01/11/07
2007,12,BOOK,19,Name of the wind / Patrick Rothfuss.,01/12/07
2008,1,BOOK,21,Name of the wind / Patrick Rothfuss.,01/01/08
2008,2,BOOK,15,Name of the wind / Patrick Rothfuss.,01/02/08
2008,3,BOOK,15,Name of the wind / Patrick Rothfuss.,01/03/08
2008,4,BOOK,16,Name of the wind / Patrick Rothfuss.,01/04/08
2008,5,BOOK,13,Name of the wind / Patrick Rothfuss.,01/05/08
2008,6,BOOK,22,Name of the wind / Patrick Rothfuss.,01/06/08
2008,7,BOOK,21,Name of the wind / Patrick Rothfuss.,01/07/08
2008,8,BOOK,16,Name of the wind / Patrick Rothfuss.,01/08/08
2008,9,BOOK,12,Name of the wind / Patrick Rothfuss.,01/09/08
2008,10,BOOK,11,Name of the wind / Patrick Rothfuss.,01/10/08
2008,11,BOOK,17,Name of the wind / Patrick Rothfuss.,01/11/08
2008,12,BOOK,7,Name of the wind / Patrick Rothfuss.,01/12/08
2009,1,BOOK,13,Name of the wind / Patrick Rothfuss.,01/01/09
2009,2,BOOK,14,Name of the wind / Patrick Rothfuss.,01/02/09
2009,3,BOOK,14,Name of the wind / Patrick Rothfuss.,01/03/09
2009,4,BOOK,16,Name of the wind / Patrick Rothfuss.,01/04/09
2009,5,BOOK,8,Name of the wind / Patrick Rothfuss.,01/05/09
2009,6,BOOK,11,Name of the wind / Patrick Rothfuss.,01/06/09
2009,7,BOOK,11,Name of the wind / Patrick Rothfuss.,01/07/09
2009,8,BOOK,11,Name of the wind / Patrick Rothfuss.,01/08/09
2009,9,BOOK,9,Name of the wind / Patrick Rothfuss.,01/09/09
2009,10,BOOK,13,Name of the wind / Patrick Rothfuss.,01/10/09
2009,11,BOOK,8,Name of the wind / Patrick Rothfuss.,01/11/09
2009,12,BOOK,8,Name of the wind / Patrick Rothfuss.,01/12/09
2010,1,BOOK,11,Name of the wind / Patrick Rothfuss.,01/01/10
2010,2,BOOK,9,Name of the wind / Patrick Rothfuss.,01/02/10
2010,3,BOOK,14,Name of the wind / Patrick Rothfuss.,01/03/10
2010,4,BOOK,9,Name of the wind / Patrick Rothfuss.,01/04/10
2010,5,BOOK,11,Name of the wind / Patrick Rothfuss.,01/05/10
2010,6,BOOK,9,Name of the wind / Patrick Rothfuss.,01/06/10
2010,7,BOOK,8,Name of the wind / Patrick Rothfuss.,01/07/10
2010,8,BOOK,10,Name of the wind / Patrick Rothfuss.,01/08/10
2010,9,BOOK,6,Name of the wind / Patrick Rothfuss.,01/09/10
2010,10,BOOK,10,Name of the wind / Patrick Rothfuss.,01/10/10
2010,11,BOOK,7,Name of the wind / Patrick Rothfuss.,01/11/10
2010,12,BOOK,7,Name of the wind / Patrick Rothfuss.,01/12/10
2011,1,BOOK,7,Name of the wind / Patrick Rothfuss.,01/01/11
2011,2,BOOK,14,Name of the wind / Patrick Rothfuss.,01/02/11
2011,3,BOOK,14,Name of the wind / Patrick Rothfuss.,01/03/11
2011,4,BOOK,14,Name of the wind / Patrick Rothfuss.,01/04/11
2011,5,BOOK,29,Name of the wind / Patrick Rothfuss.,01/05/11
2011,6,BOOK,24,Name of the wind / Patrick Rothfuss.,01/06/11
2011,7,BOOK,26,Name of the wind / Patrick Rothfuss.,01/07/11
2011,7,AUDIOBOOK,1,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/07/11
2011,7,EBOOK,1,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/07/11
2011,8,AUDIOBOOK,3,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/08/11
2011,8,BOOK,25,Name of the wind / Patrick Rothfuss.,01/08/11
2011,8,EBOOK,5,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/08/11
2011,9,EBOOK,5,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/09/11
2011,9,AUDIOBOOK,1,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/09/11
2011,9,BOOK,14,Name of the wind / Patrick Rothfuss.,01/09/11
2011,10,AUDIOBOOK,5,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/10/11
2011,10,BOOK,21,Name of the wind / Patrick Rothfuss.,01/10/11
2011,10,EBOOK,6,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/10/11
2011,11,BOOK,23,Name of the wind / Patrick Rothfuss.,01/11/11
2011,11,EBOOK,7,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/11/11
2011,11,AUDIOBOOK,4,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/11/11
2011,12,BOOK,20,Name of the wind / Patrick Rothfuss.,01/12/11
2011,12,AUDIOBOOK,3,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/12/11
2011,12,EBOOK,12,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/12/11
2012,1,AUDIOBOOK,6,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/01/12
2012,1,BOOK,15,Name of the wind / Patrick Rothfuss.,01/01/12
2012,1,EBOOK,9,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/01/12
2012,2,EBOOK,8,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/02/12
2012,2,BOOK,31,Name of the wind / Patrick Rothfuss.,01/02/12
2012,3,BOOK,23,Name of the wind / Patrick Rothfuss.,01/03/12
2012,3,AUDIOBOOK,5,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/03/12
2012,3,EBOOK,8,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/03/12
2012,4,AUDIOBOOK,3,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/04/12
2012,4,EBOOK,12,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/04/12
2012,4,BOOK,26,Name of the wind / Patrick Rothfuss.,01/04/12
2012,5,BOOK,30,Name of the wind / Patrick Rothfuss.,01/05/12
2012,5,EBOOK,8,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/05/12
2012,5,AUDIOBOOK,1,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/05/12
2012,6,BOOK,25,Name of the wind / Patrick Rothfuss.,01/06/12
2012,6,AUDIOBOOK,3,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/06/12
2012,6,EBOOK,9,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/06/12
2012,7,EBOOK,8,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/07/12
2012,7,AUDIOBOOK,6,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/07/12
2012,7,BOOK,34,Name of the wind / Patrick Rothfuss.,01/07/12
2012,8,EBOOK,9,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/08/12
2012,8,AUDIOBOOK,3,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/08/12
2012,8,BOOK,20,Name of the wind / Patrick Rothfuss.,01/08/12
2012,9,BOOK,20,Name of the wind / Patrick Rothfuss.,01/09/12
2012,9,EBOOK,9,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/09/12
2012,9,AUDIOBOOK,4,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/09/12
2012,10,EBOOK,10,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/10/12
2012,10,AUDIOBOOK,5,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/10/12
2012,10,BOOK,31,Name of the wind / Patrick Rothfuss.,01/10/12
2012,11,BOOK,29,Name of the wind / Patrick Rothfuss.,01/11/12
2012,11,EBOOK,10,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/11/12
2012,11,AUDIOBOOK,5,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/11/12
2012,12,AUDIOBOOK,3,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/12/12
2012,12,BOOK,23,Name of the wind / Patrick Rothfuss.,01/12/12
2012,12,EBOOK,9,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/12/12
2013,1,BOOK,25,Name of the wind / Patrick Rothfuss.,01/01/13
2013,1,AUDIOBOOK,3,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/01/13
2013,1,EBOOK,11,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/01/13
2013,2,EBOOK,9,"The Name of the Wind: Kingkiller Chronicle, Book 1",01/02/13
2013,2,BOOK,25,Name of the wind / Patrick Rothfuss.,01/02/13
2013,2,AUDIOBOOK,2,"The Name of the Wind: Kingkiller Chronicle, Book 1 (unabridged) (Unabridged)",01/02/13
